year,period_type,decimal_latitude,decimal_longitude,species,state_province,country_code,time_period,month,avg_temp_c,land_area,density_per,observations,cluster,cluster_name
1980,1,42,-71,Cygnus olor,Rhode Island,US,1_1980-1988,12,-2.6666667,2678.0,409.0,2,3,Северо-восток США и восток Канады
1980,1,43,-113,Cygnus columbianus,Idaho,US,1_1980-1988,12,-1.6111112,214045.0,9.2,1,4,Запад США и Канады
1980,1,43,-82,Cygnus olor,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,2,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus columbianus,Ontario,CA,1_1980-1988,1,-9.080206,1.076395e+06,15.2,3,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus columbianus,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus columbianus,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,2,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus olor,Ontario,CA,1_1980-1988,1,-9.080206,1.076395e+06,15.2,9,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus olor,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,43,-80,Cygnus olor,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,43,-79,Cygnus columbianus,New York,US,1_1980-1988,12,-7.2222223,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,1,43,-79,Cygnus columbianus,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,43,-71,Cygnus olor,Massachusetts,US,1_1980-1988,1,-3.2777777,20202.0,347.0,2,3,Северо-восток США и восток Канады
1980,1,43,-71,Cygnus olor,Massachusetts,US,1_1980-1988,2,-5.111111,20202.0,347.0,3,3,Северо-восток США и восток Канады
1980,1,43,-71,Cygnus olor,Massachusetts,US,1_1980-1988,12,-4.611111,20202.0,347.0,6,3,Северо-восток США и восток Канады
1980,1,44,-121,Cygnus columbianus,Oregon,US,1_1980-1988,12,2.0555556,248608.0,17.0,1,4,Запад США и Канады
1980,1,44,-89,Cygnus olor,Wisconsin,US,1_1980-1988,12,-8.0,140268.0,42.0,1,3,Северо-восток США и восток Канады
1980,1,44,-83,Cygnus olor,Michigan,US,1_1980-1988,2,-8.222222,146435.0,69.0,3,3,Северо-восток США и восток Канады
1980,1,44,-80,Cygnus olor,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,44,-79,Cygnus columbianus,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,1,44,-79,Cygnus olor,Ontario,CA,1_1980-1988,1,-9.080206,1.076395e+06,15.2,3,3,Северо-восток США и восток Канады
1980,1,44,-79,Cygnus olor,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,3,3,Северо-восток США и восток Канады
1980,1,44,-79,Cygnus olor,Ontario,CA,1_1980-1988,12,-10.344902,1.076395e+06,15.2,4,3,Северо-восток США и восток Канады
1980,1,45,-123,Cygnus buccinator,Oregon,US,1_1980-1988,2,3.2222223,248608.0,17.0,1,4,Запад США и Канады
1980,1,45,-123,Cygnus buccinator,Oregon,US,1_1980-1988,12,2.0555556,248608.0,17.0,1,4,Запад США и Канады
1980,1,45,-123,Cygnus columbianus,Oregon,US,1_1980-1988,2,3.2222223,248608.0,17.0,2,4,Запад США и Канады
1980,1,45,-121,Cygnus columbianus,Oregon,US,1_1980-1988,12,2.0555556,248608.0,17.0,1,4,Запад США и Канады
1980,1,45,-86,Cygnus olor,Michigan,US,1_1980-1988,1,-6.888889,146435.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,45,-86,Cygnus olor,Michigan,US,1_1980-1988,12,-6.5555553,146435.0,69.0,1,3,Северо-восток США и восток Канады
1980,1,45,-80,Cygnus olor,Ontario,CA,1_1980-1988,2,-10.87221,1.076395e+06,15.2,2,3,Северо-восток США и восток Канады
1980,1,46,-123,Cygnus columbianus,Oregon,US,1_1980-1988,1,-1.1111112,248608.0,17.0,2,4,Запад США и Канады
1980,1,46,-123,Cygnus columbianus,Oregon,US,1_1980-1988,2,3.2222223,248608.0,17.0,2,4,Запад США и Канады
1980,1,48,-123,Cygnus buccinator,Washington,US,1_1980-1988,2,1.0555556,172119.0,45.0,2,4,Запад США и Канады
1980,1,48,-122,Cygnus buccinator,Washington,US,1_1980-1988,2,1.0555556,172119.0,45.0,1,4,Запад США и Канады
1980,1,48,-122,Cygnus columbianus,Washington,US,1_1980-1988,1,-4.5555553,172119.0,45.0,1,4,Запад США и Канады
1980,1,49,-123,Cygnus buccinator,British Columbia,CA,1_1980-1988,1,-6.2503986,944735.0,5.4,4,4,Запад США и Канады
1980,1,49,-123,Cygnus buccinator,British Columbia,CA,1_1980-1988,2,0.019744564,944735.0,5.4,2,4,Запад США и Канады
1980,1,49,-123,Cygnus buccinator,British Columbia,CA,1_1980-1988,12,-2.266537,944735.0,5.4,1,4,Запад США и Канады
1980,1,49,-123,Cygnus buccinator,Washington,US,1_1980-1988,12,1.4444444,172119.0,45.0,1,4,Запад США и Канады
1980,1,49,-123,Cygnus columbianus,British Columbia,CA,1_1980-1988,1,-6.2503986,944735.0,5.4,3,4,Запад США и Канады
1980,1,49,-123,Cygnus columbianus,Washington,US,1_1980-1988,12,1.4444444,172119.0,45.0,1,4,Запад США и Канады
1980,1,49,-123,Cygnus olor,British Columbia,CA,1_1980-1988,1,-6.2503986,944735.0,5.4,1,4,Запад США и Канады
1980,1,49,-123,Cygnus olor,British Columbia,CA,1_1980-1988,2,0.019744564,944735.0,5.4,1,4,Запад США и Канады
1980,1,49,-122,Cygnus buccinator,British Columbia,CA,1_1980-1988,1,-6.2503986,944735.0,5.4,1,4,Запад США и Канады
1980,1,50,-123,Cygnus buccinator,British Columbia,CA,1_1980-1988,1,-6.2503986,944735.0,5.4,2,4,Запад США и Канады
1980,1,50,-123,Cygnus buccinator,British Columbia,CA,1_1980-1988,12,-2.266537,944735.0,5.4,1,4,Запад США и Канады
1980,1,54,-115,Cygnus columbianus,Alberta,CA,1_1980-1988,12,-13.837035,640330.44,6.7,1,4,Запад США и Канады
1980,2,34,-84,Cygnus olor,Georgia,US,1_1980-1988,7,27.944445,148959.0,74.0,1,2,Юг США
1980,2,37,-93,Cygnus olor,Missouri,US,1_1980-1988,8,27.166666,178040.0,35.0,1,2,Юг США
1980,2,38,-75,Cygnus olor,Maryland,US,1_1980-1988,8,24.61111,25142.0,246.0,2,3,Северо-восток США и восток Канады
1980,2,38,-75,Cygnus olor,Virginia,US,1_1980-1988,6,20.666666,102279.0,85.0,2,3,Северо-восток США и восток Канады
1980,2,38,-75,Cygnus olor,Virginia,US,1_1980-1988,7,24.555555,102279.0,85.0,11,3,Северо-восток США и восток Канады
1980,2,39,-122,Cygnus columbianus,California,US,1_1980-1988,8,22.777779,403466.0,97.0,2,4,Запад США и Канады
1980,2,39,-76,Cygnus olor,Maryland,US,1_1980-1988,7,24.666666,25142.0,246.0,1,3,Северо-восток США и восток Канады
1980,2,39,-75,Cygnus columbianus,Delaware,US,1_1980-1988,8,25.0,5047.0,204.0,1,3,Северо-восток США и восток Канады
1980,2,39,-75,Cygnus olor,Delaware,US,1_1980-1988,8,25.0,5047.0,204.0,1,3,Северо-восток США и восток Канады
1980,2,39,-75,Cygnus olor,New Jersey,US,1_1980-1988,8,24.222221,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,2,39,-74,Cygnus olor,New Jersey,US,1_1980-1988,8,24.222221,19047.0,488.0,2,3,Северо-восток США и восток Канады
1980,2,40,-116,Cygnus buccinator,Nevada,US,1_1980-1988,6,16.5,284332.0,11.0,1,4,Запад США и Канады
1980,2,40,-75,Cygnus olor,New Jersey,US,1_1980-1988,6,19.444445,19047.0,488.0,1,3,Северо-восток США и восток Канады
1980,2,40,-75,Cygnus olor,Pennsylvania,US,1_1980-1988,8,22.11111,115883.0,112.0,3,3,Северо-восток США и восток Канады
1980,2,41,-77,Cygnus olor,Pennsylvania,US,1_1980-1988,7,21.666666,115883.0,112.0,1,3,Северо-восток США и восток Канады
1980,2,41,-74,Cygnus olor,Connecticut,US,1_1980-1988,7,22.222221,12542.0,288.0,1,3,Северо-восток США и восток Канады
1980,2,41,-74,Cygnus olor,New York,US,1_1980-1988,6,15.722222,122057.0,160.0,4,3,Северо-восток США и восток Канады
1980,2,41,-74,Cygnus olor,New York,US,1_1980-1988,7,20.333334,122057.0,160.0,6,3,Северо-восток США и восток Канады
1980,2,41,-74,Cygnus olor,New York,US,1_1980-1988,8,20.666666,122057.0,160.0,6,3,Северо-восток США и восток Канады
