LocationID,GridCellID,Latitude,Longitude,StateProvince,Country,DensityPer,LandArea
62_-138_Yukon,62_-138,62,-138,Yukon,CA,0.08,474712.7
62_-80_Nunavut,62_-80,62,-80,Nunavut,CA,0.02,1877778.5
62_-78_Quebec,62_-78,62,-78,Quebec,CA,6.5,1542057.0
62_-77_Quebec,62_-77,62,-77,Quebec,CA,6.5,1542057.0
62_-74_Quebec,62_-74,62,-74,Quebec,CA,6.5,1542057.0
63_-158_Alaska,63_-158,63,-158,Alaska,US,0.5,1477953.0
63_-128_Northwest Territories,63_-128,63,-128,Northwest Territories,CA,0.04,1143793.9
64_-90_Nunavut,64_-90,64,-90,Nunavut,CA,0.02,1877778.5
65_-76_Nunavut,65_-76,65,-76,Nunavut,CA,0.02,1877778.5
68_-163_Alaska,68_-163,68,-163,Alaska,US,0.5,1477953.0
68_-160_Alaska,68_-160,68,-160,Alaska,US,0.5,1477953.0
69_-152_Alaska,69_-152,69,-152,Alaska,US,0.5,1477953.0
70_-154_Alaska,70_-154,70,-154,Alaska,US,0.5,1477953.0
72_-120_Northwest Territories,72_-120,72,-120,Northwest Territories,CA,0.04,1143793.9
72_-94_Nunavut,72_-94,72,-94,Nunavut,CA,0.02,1877778.5
33_-106_New Mexico,33_-106,33,-106,New Mexico,US,6.7,314161.0
33_-102_Texas,33_-102,33,-102,Texas,US,45.0,676587.0
33_-100_Texas,33_-100,33,-100,Texas,US,45.0,676587.0
33_-94_Louisiana,33_-94,33,-94,Louisiana,US,41.0,111898.0
37_-95_Oklahoma,37_-95,37,-95,Oklahoma,US,23.0,177660.0
38_-109_Colorado,38_-109,38,-109,Colorado,US,22.0,268431.0
38_-108_Colorado,38_-108,38,-108,Colorado,US,22.0,268431.0
38_-93_Missouri,38_-93,38,-93,Missouri,US,35.0,178040.0
38_-76_Delaware,38_-76,38,-76,Delaware,US,204.0,5047.0
40_-107_Colorado,40_-107,40,-107,Colorado,US,22.0,268431.0
40_-98_Kansas,40_-98,40,-98,Kansas,US,14.0,211754.0
41_-103_Colorado,41_-103,41,-103,Colorado,US,22.0,268431.0
41_-102_Colorado,41_-102,41,-102,Colorado,US,22.0,268431.0
41_-93_Missouri,41_-93,41,-93,Missouri,US,35.0,178040.0
42_-119_Nevada,42_-119,42,-119,Nevada,US,11.0,284332.0
42_-104_Wyoming,42_-104,42,-104,Wyoming,US,2.3,251470.0
44_-108_Wyoming,44_-108,44,-108,Wyoming,US,2.3,251470.0
44_-105_Wyoming,44_-105,44,-105,Wyoming,US,2.3,251470.0
44_-95_Iowa,44_-95,44,-95,Iowa,US,22.0,144669.0
44_-64_Nova Scotia,44_-64,44,-64,Nova Scotia,CA,18.4,52942.27
45_-76_New York,45_-76,45,-76,New York,US,160.0,122057.0
46_-98_North Dakota,46_-98,46,-98,North Dakota,US,4.4,178711.0
49_-117_Idaho,49_-117,49,-117,Idaho,US,9.2,214045.0
50_-122_British Columbia,50_-122,50,-122,British Columbia,CA,5.4,944735.0
55_-115_Alberta,55_-115,55,-115,Alberta,CA,6.7,640330.44
41_-114_Nevada,41_-114,41,-114,Nevada,US,11.0,284332.0
41_-111_Wyoming,41_-111,41,-111,Wyoming,US,2.3,251470.0
45_-103_South Dakota,45_-103,45,-103,South Dakota,US,4.7,196350.0
45_-74_New York,45_-74,45,-74,New York,US,160.0,122057.0
46_-115_Idaho,46_-115,46,-115,Idaho,US,9.2,214045.0
46_-90_Michigan,46_-90,46,-90,Michigan,US,69.0,146435.0
47_-90_Michigan,47_-90,47,-90,Michigan,US,69.0,146435.0
49_-100_North Dakota,49_-100,49,-100,North Dakota,US,4.4,178711.0
49_-93_Minnesota,49_-93,49,-93,Minnesota,US,28.0,206232.0
49_-91_Ontario,49_-91,49,-91,Ontario,CA,15.2,1076395.0
49_-89_Ontario,49_-89,49,-89,Ontario,CA,15.2,1076395.0
56_-96_Manitoba,56_-96,56,-96,Manitoba,CA,2.3,552371.0
60_-154_Alaska,60_-154,60,-154,Alaska,US,0.5,1477953.0
60_-146_Alaska,60_-146,60,-146,Alaska,US,0.5,1477953.0
60_-102_Saskatchewan,60_-102,60,-102,Saskatchewan,CA,2.0,588243.56
60_-98_Manitoba,60_-98,60,-98,Manitoba,CA,2.3,552371.0
61_-152_Alaska,61_-152,61,-152,Alaska,US,0.5,1477953.0
62_-128_Yukon,62_-128,62,-128,Yukon,CA,0.08,474712.7
63_-160_Alaska,63_-160,63,-160,Alaska,US,0.5,1477953.0
63_-91_Nunavut,63_-91,63,-91,Nunavut,CA,0.02,1877778.5
64_-91_Nunavut,64_-91,64,-91,Nunavut,CA,0.02,1877778.5
65_-154_Alaska,65_-154,65,-154,Alaska,US,0.5,1477953.0
65_-97_Nunavut,65_-97,65,-97,Nunavut,CA,0.02,1877778.5
66_-107_Nunavut,66_-107,66,-107,Nunavut,CA,0.02,1877778.5
67_-73_Nunavut,67_-73,67,-73,Nunavut,CA,0.02,1877778.5
68_-158_Alaska,68_-158,68,-158,Alaska,US,0.5,1477953.0
68_-155_Alaska,68_-155,68,-155,Alaska,US,0.5,1477953.0
68_-116_Nunavut,68_-116,68,-116,Nunavut,CA,0.02,1877778.5
68_-112_Nunavut,68_-112,68,-112,Nunavut,CA,0.02,1877778.5
69_-116_Nunavut,69_-116,69,-116,Nunavut,CA,0.02,1877778.5
69_-115_Nunavut,69_-115,69,-115,Nunavut,CA,0.02,1877778.5
31_-89_Mississippi,31_-89,31,-89,Mississippi,US,24.0,121531.0
31_-86_Alabama,31_-86,31,-86,Alabama,US,39.0,131171.0
31_-82_Georgia,31_-82,31,-82,Georgia,US,74.0,148959.0
32_-88_Alabama,32_-88,32,-88,Alabama,US,39.0,131171.0
35_-100_Texas,35_-100,35,-100,Texas,US,45.0,676587.0
36_-109_Arizona,36_-109,36,-109,Arizona,US,25.0,294207.0
38_-87_Kentucky,38_-87,38,-87,Kentucky,US,44.0,102269.0
39_-81_Ohio,39_-81,39,-81,Ohio,US,111.0,105829.0
40_-102_Colorado,40_-102,40,-102,Colorado,US,22.0,268431.0
40_-96_Missouri,40_-96,40,-96,Missouri,US,35.0,178040.0
40_-96_Nebraska,40_-96,40,-96,Nebraska,US,10.0,198974.0
40_-92_Iowa,40_-92,40,-92,Iowa,US,22.0,144669.0
41_-110_Utah,41_-110,41,-110,Utah,US,16.0,212818.0
41_-81_Pennsylvania,41_-81,41,-81,Pennsylvania,US,112.0,115883.0
42_-106_Wyoming,42_-106,42,-106,Wyoming,US,2.3,251470.0
46_-77_Ontario,46_-77,46,-77,Ontario,CA,15.2,1076395.0
55_-126_British Columbia,55_-126,55,-126,British Columbia,CA,5.4,944735.0
